timestamp,id,marker_x,deltaX
1764084431.159728,8.0,989.5,349.5
1764084431.194357,8.0,989.75,349.75
1764084431.2270138,8.0,989.75,349.75
1764084431.262505,8.0,989.75,349.75
1764084431.2956748,8.0,989.0,349.0
1764084431.328798,8.0,988.5,348.5
1764084431.3636138,8.0,988.75,348.75
1764084431.4007418,8.0,989.0,349.0
1764084431.432079,8.0,989.0,349.0
1764084431.4660811,8.0,988.5,348.5
1764084431.501715,8.0,987.75,347.75
1764084431.535521,8.0,987.75,347.75
1764084431.570732,8.0,987.25,347.25
1764084431.603893,8.0,987.5,347.5
1764084431.640278,8.0,986.5,346.5
1764084431.675976,8.0,985.75,345.75
1764084431.7104871,8.0,985.75,345.75
1764084431.74635,8.0,985.75,345.75
1764084431.816106,8.0,985.0,345.0
1764084431.884573,8.0,984.5,344.5
1764084431.951787,8.0,984.25,344.25
1764084431.984298,8.0,984.25,344.25
1764084432.01757,8.0,984.25,344.25
1764084432.052264,8.0,984.25,344.25
1764084432.088213,8.0,983.75,343.75
1764084432.121543,8.0,983.75,343.75
1764084432.1558778,8.0,983.75,343.75
1764084432.192653,8.0,983.5,343.5
1764084432.22517,8.0,983.25,343.25
1764084432.2611358,8.0,983.25,343.25
1764084432.296461,8.0,983.0,343.0
1764084432.3291252,8.0,983.0,343.0
1764084432.36255,8.0,982.75,342.75
1764084432.3991182,8.0,982.5,342.5
1764084432.431503,8.0,982.5,342.5
1764084432.465158,8.0,981.5,341.5
1764084432.499777,8.0,981.75,341.75
1764084432.5345159,8.0,982.0,342.0
1764084432.569163,8.0,982.25,342.25
1764084432.603049,8.0,982.5,342.5
1764084432.639153,8.0,982.5,342.5
1764084432.673645,8.0,982.5,342.5
1764084432.705911,8.0,983.0,343.0
1764084432.741476,8.0,983.25,343.25
1764084432.7782521,8.0,983.0,343.0
1764084432.813023,8.0,983.5,343.5
1764084432.846476,8.0,984.0,344.0
1764084432.880618,8.0,984.25,344.25
1764084432.914192,8.0,984.75,344.75
1764084432.948253,8.0,985.75,345.75
1764084432.981947,8.0,986.25,346.25
1764084433.0160909,8.0,986.75,346.75
1764084433.051818,8.0,987.0,347.0
1764084433.085597,8.0,987.0,347.0
1764084433.121993,8.0,987.25,347.25
1764084433.154206,8.0,987.0,347.0
1764084433.18952,8.0,987.25,347.25
1764084433.225631,8.0,988.0,348.0
1764084433.259804,8.0,988.75,348.75
1764084433.2928011,8.0,988.75,348.75
1764084433.327602,8.0,988.75,348.75
1764084433.360783,8.0,987.5,347.5
1764084433.396714,8.0,986.75,346.75
1764084433.430073,8.0,986.0,346.0
1764084433.466068,8.0,986.0,346.0
1764084433.498139,8.0,985.75,345.75
1764084433.5329652,8.0,985.75,345.75
1764084433.56718,8.0,985.75,345.75
1764084433.6019452,8.0,984.75,344.75
1764084433.637075,8.0,983.25,343.25
1764084433.6705768,8.0,981.25,341.25
1764084433.7052858,8.0,980.0,340.0
1764084433.7416918,8.0,978.25,338.25
1764084433.776901,8.0,977.0,337.0
1764084433.810474,8.0,975.25,335.25
